indikator_utama,rencana_aksi_desc,pic_pelaksana,target_2026,kategori,capaian_persen
Nilai SAKIP,1. Diskusi dengan MenPANRB untuk penjelasan lebih detail terkait LHE,Biro Perencanaan dan Kerjasama,"79,03",RB General,66
Nilai SAKIP,2. Benchmarking ke K/L untuk mendapatkan saran masukan proses perencanaan kinerja berbasis results chain,Biro Perencanaan dan Kerjasama,,RB General,29
Nilai SAKIP,3. Penyusunan reviu Indikator Kinerja Utama 2025-2029,Biro Perencanaan dan Kerjasama,,RB General,86
Nilai SAKIP,4. Perbaikan CSF sehingga keterkaitan logis menjadi lebih jelas,Biro Perencanaan dan Kerjasama,,RB General,75
Nilai SAKIP,5. Perbaikan dokumen pohon kinerja yang konsisten dari tingkat organisasi hingga unit kerja,Biro Perencanaan dan Kerjasama,,RB General,35
Nilai SAKIP,"1. Penyusunan croscutting kinerja yang memuat peran kontribusi internal BPS dan eksternal BPS, penajaman pada KP dan PN serta Prioritas Presiden (Inpres)",Biro Perencanaan dan Kerjasama,,RB General,97
Nilai SAKIP,1. Pemeriksaan Kertas Kerja Monitoring Kinerja Unit Kerja dan Satuan Kerja BPS Provinsi,Biro Perencanaan dan Kerjasama,,RB General,89
Nilai SAKIP,"2. Penyesuaian proses bisnis Pembahasan Rapat Monitoring Kinerja Triwulanan telah membahas terkait rencana aksi yg logis terukur serta kejelasan hubungan antara aksi, output, hingga pencapaian outcome",Biro Perencanaan dan Kerjasama,,RB General,89
Nilai SAKIP,1. Penggunaan fitur Perencanaan Kinerja dan sinkronisasi data PK di SINERGI dan Kip App,Biro Perencanaan dan Kerjasama,,RB General,38
Nilai SAKIP,1. Penyusunan pedoman teknis Pelaporan Kinerja BPS,Biro Perencanaan dan Kerjasama,,RB General,17
Nilai SAKIP,2. Pemeriksaan substansi LAKIN Unit Kerja dan Satker BPS Provinsi,Biro Perencanaan dan Kerjasama,,RB General,36
Nilai SAKIP,3. Pembinaan SAKIP ,Biro Perencanaan dan Kerjasama,,RB General,67
Nilai SAKIP,1. Penguatan implementasi Manajemen Risiko di BPS,Biro Perencanaan dan Kerjasama,,RB General,16
Capaian IKU Kementerian/Lembaga,2. Penyusunan Laporan Kinerja Triwulanan BPS TA 2026,Biro Perencanaan dan Kerjasama,,RB General,44
Capaian IKU Kementerian/Lembaga,1. Melakukan monitoring capaian kinerja BPS triwulanan,Biro Perencanaan dan Kerjasama,100,RB General,52
Penguatan Implementasi SPIP,1. Berkoordinasi dengan Tim Penyusunan Rencana terkait reviu Renstra BPS,Biro Perencanaan dan Kerjasama,3.75,RB General,16
Penguatan Implementasi SPIP,2. Melakukan pengelolaan risiko di tingkat Lembaga dan Unit Kerja Eselon I yang didalamnya memuat identifikasi risiko fraud ,Biro Perencanaan dan Kerjasama,,RB General,78
Penguatan Implementasi SPIP,3. Evaluasi berkala atas penerapan kebijakan peraturan dilingkungan BPS ,Biro Perencanaan dan Kerjasama,,RB General,74
Penguatan Implementasi SPIP,4. Melaksanakan Penilaian Mandiri SPIP BPS,Biro Perencanaan dan Kerjasama,,RB General,35
Penguatan Implementasi SPIP,5. Melaksanakan Pembinaan SPIP dan Manajemen Risiko,Biro Perencanaan dan Kerjasama,,RB General,47
Capaian Prioritas Nasional,1. Monitoring capaian RO Prioritas Nasional setiap triwulan,Biro Perencanaan dan Kerjasama,99.93,RB General,90
Indeks Perencanaan Pembangunan,1. Evaluasi dan internalisasi kepada tim perencanaan dan pelaksanaan anggaran terkait hasil penilaian Indeks Perencanaan Pembangunan Nasional Tahun 2026 khususnya untuk catatan yang perlu ditindaklanjuti.,Biro Perencanaan dan Kerjasama,"93,95",RB General,72
Indeks Perencanaan Pembangunan,2. Peningkatan kualitas dokumen perencanaan BPS,,,RB General,36
Indeks Kualitas Kebijakan,11. Mekanisme bagi masyarakat untuk memberikan masukan atau mengajukan keberatan,Biro Hukum dan Organisasi,,RB General,63
Indeks Kualitas Kebijakan,10. Informasi kebijakan dapat diakses oleh publik,Biro Hukum dan Organisasi,,RB General,73
