indikator_utama,indikator_kegiatan,rencana_aksi_desc,output_desc,pic_pelaksana,tw1_kegiatan,tw1_capaian,tw1_kendala,tw1_solusi,tw2_kegiatan,tw2_capaian,tw2_kendala,tw2_solusi,tw3_kegiatan,tw3_capaian,tw3_kendala,tw3_solusi,tw4_kegiatan,tw4_capaian,tw4_kendala,tw4_solusi,catatan_evaluatur_tw4,capaian_tahunan_rata
Penguatan Implementasi SPIP,Tingkat Maturitas SPIP,1. Evaluasi berkala atas penerapan kebijakn peraturan dilingkungan BPS ,Dokumen,Biro Perencanaan,Ira Cahyaningtyas,0.0,https://s.bps.go.id/DraftPerbanSPIP2025,Perubahan tata Kelola di BPS dan perubahan SOTK di BPS belum selesai ditetapkan,0,0.0,https://s.bps.go.id/DraftPerbanSPIP2025,Perubahan tata Kelola di BPS dan perubahan SOTK di BPS belum selesai ditetapkan,0,0.0,https://s.bps.go.id/DraftPerbanSPIP2025,Perubahan tata Kelola di BPS dan perubahan SOTK di BPS belum selesai ditetapkan,0,0.0,https://s.bps.go.id/DraftPerbanSPIP2025,Perubahan tata Kelola di BPS dan perubahan SOTK di BPS belum selesai ditetapkan,,0.0
Penguatan Implementasi SPIP,Tingkat Maturitas SPIP,2. Melaksanakan Penilaian Mandiri SPIP BPS,Laporan,Biro Perencanaan,Ira Cahyaningtyas,0.0,https://sites.google.com/view/spipterintegrasibps/home,"1. Perubahan tata Kelola di BPS dan perubahan SOTK di BPS belum selesai ditetapkan
2. Perubahan Kertas Kerja Penilaian Maturitas Penyelenggaraan SPIPT Tahun 2025
3. Renstra baru yang harus penyelarasan dengan visi misi Presiden",0,0.0,https://sites.google.com/view/spipterintegrasibps/home,"1. Perubahan tata Kelola di BPS dan perubahan SOTK di BPS belum selesai ditetapkan
2. Perubahan Kertas Kerja Penilaian Maturitas Penyelenggaraan SPIPT Tahun 2025
3. Renstra baru yang harus penyelarasan dengan visi misi Presiden",0,0.0,https://drive.google.com/file/d/12tNtn_FLo_RJnfhWt5fpkmGO_uhQxyeJ/view?usp=sharing,"Tidak ada, PM SPIP sudah selesai dilaksanakan",5400000,0.0,https://drive.google.com/file/d/12tNtn_FLo_RJnfhWt5fpkmGO_uhQxyeJ/view?usp=sharing,"Tidak ada, PM SPIP sudah selesai dilaksanakan. Saat ini sedang menunggu penilaian dari BPKP.",,0.0
Penguatan Implementasi SPIP,Tingkat Maturitas SPIP,3. Melaksanakan Pembinaan SPIP dan Manajemen Risiko,Laporan,Biro Perencanaan,Ira Cahyaningtyas,0.0,,Menunggu jadwal BPKP,0,0.0,,Menunggu jadwal BPKP,0,0.0,https://drive.google.com/file/d/1jPtKkUYoOQDiEk6XqQ-yJbf7k82Igjhz/view?usp=sharing,"Tidak ada, Pelaksanaan dan penyusunan laporan pembinaan SPIP sudah selesai dilaksanakan",5400000,0.0,https://drive.google.com/file/d/1jPtKkUYoOQDiEk6XqQ-yJbf7k82Igjhz/view?usp=sharing,"Tidak ada, Pelaksanaan dan penyusunan laporan pembinaan SPIP sudah selesai dilaksanakan",,0.0
Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,1. Pimpinan menetapkan target success rate pembangunan ZI sebesar minimal 60% pada Perjanjian Kinerja (PK) kepala BPS Provinsi,Dokumen,Inspektorat Wilayah III,Arbaatun Kurniasari,0.0,"a. https://drive.google.com/drive/folders/1CF27Xogj8b46pMCB5LaJ3VxSuiAuKhqt

b. https://license365bps-my.sharepoint.com/:b:/g/personal/rb_bps_license365bps_onmicrosoft_com/EaJPXlAjL8BHm7sOj6wwnWIBZK2iE7xbJ3l65Pxys6KmgQ?e=PwtLEx",-,-,0.0,-,-,-,0.0,-,-,-,0.0,-,-,1. Pencapaian atas rencana aksi Pimpinan menetapkan target success rate pembangunan ZI sebesar minimal 60% pada Perjanjian Kinerja (PK) kepala BPS Provinsi Triwulan I Tahun 2025 sesuai dengan target yaitu terbitnya Surat Plt Sestama dengan No. B-106/02000/PR.110/2025 tentang Pembangunan Zona Integritas BPS Tahun 2025. Pencapaian tersebut sudah dilengkapi dengan bukti dukung.,0.0
Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,2. Pelaksanaan penilaian mandiri LKE ZI tahun 2025 atas seluruh satuan kerja BPS,Dokumen,Inspektorat Wilayah III,Arbaatun Kurniasari,0.0,https://drive.google.com/drive/folders/1R14F4zP5QzOwi4cP-jPbfPH-s1f2Rqzb,Bukti dukung yang disampaikan dalam LKE oleh satuan kerja belum sesuai ,0,0.0,-,-,-,0.0,,,,0.0,,,1. Pencapaian atas rencana aksi Pelaksanaan penilaian mandiri LKE ZI tahun 2025 atas seluruh satuan kerja BPS sesuai dengan target pada Triwulan I 2025 . Pencapaian tersebut sudah dilengkapi dengan bukti dukung.,0.0
Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,3. Pelaksanaan evaluasi pembangunan ZI tahun 2025,Persen,Inspektorat Wilayah III,Arbaatun Kurniasari,0.0,-,-,-,0.0,https://drive.google.com/drive/folders/1laTEwfp31iNOWsZRcHgv9J3PI__qmiOB,"1. Waktu pelaksanaan desk singkat dan tumpang tindih pekerjaan
2. Pemahaman tiap TPI berbeda",80300740,0.0,,,,0.0,,,1. Pencapaian atas rencana aksi Pelaksanaan evaluasi pembangunan ZI tahun 2025 BPS sesuai dengan target pada Triwulan II 2025. Pencapaian tersebut sudah dilengkapi dengan bukti dukung.,0.0
Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,4. Optimalisasi peran Tim TPI dan TPP dalam Penilaian evaluasi pembangunan ZI tahun 2025,Persen,Inspektorat Wilayah III,Arbaatun Kurniasari,0.0,https://drive.google.com/drive/folders/1r06_8olkJbg9DBQIchBBZsWOQRqp6z2M,"1. Dilakukan secara virtual (zoom) sehingga TPI dan TPP tidak fokus mengikuti kegiatan bimtek
2. Jaringan tidak memadai",3600000,0.0,-,-,-,0.0,,,,0.0,,,1. Pencapaian atas rencana aksi Optimalisasi peran Tim TPI dan TPP dalam Penilaian evaluasi pembangunan ZI tahun 2025 sesuai target pada Triwulan I 2025 . Pencapaian tersebut sudah dilengkapi dengan bukti dukung.,0.0
Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,5. Tersusunnya Pedoman dan Dashboard evaluasi pembangunan ZI tahun 2025,Persen,Inspektorat Wilayah III,Arbaatun Kurniasari,0.0,"https://drive.google.com/drive/folders/1Fdlrx0mMgS95a2LRhVYfB_v7BpcXjiKT

s.bps.go.id/deskevaluasi2025","1. Waktu pembangunan dashbord singkat
2. Kertas kerja yang harus dibuat sebanyak 528 satker",-,0.0,-,-,-,0.0,,,,0.0,,,1. Pencapaian atas rencana aksi Tersusunnya Pedoman dan Dashboard evaluasi pembangunan ZI tahun 2025 sesuai target pada Triwulan I 2025 . Pencapaian tersebut sudah dilengkapi dengan bukti dukung.,0.0
Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,6. Sharing session satker WBK/WBBM ,Persen,Inspektorat Wilayah III,Arbaatun Kurniasari,0.0,-,-,-,0.0,-,-,-,0.0,https://drive.google.com/drive/folders/1VhcdEIPlyHlgjfWy6Vp-UpgP2T2N6m66?usp=sharing,"1. Pemahaman kepala BPS dalam tahapan evaluasi lapangan berbeda-beda;
2. Belum adanya kepastian untuk calon satker predikat WBK mana yang akan dievaluasi lapangan dan jadwal evaluasi lapangan.",Rp -,0.0,-,-,,0.0
Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,7. Pelaksanaan pembinaan pembangunan ZI tahun 2025,Persen,Inspektorat Wilayah III,Arbaatun Kurniasari,0.0,https://s.bps.go.id/PembangunanZI2025,Penyusunan materi pembinaan yaitu buku pedoman Pembangunan ZI 2025 membutuhkan waktu sehingga kegiatan pembinaan Pembangunan ZI 2025 harus menunggu terselesaikannya materi pedoman Pembangunan ZI 2025,0,0.0,https://s.bps.go.id/PembangunanZI2025,Penyusunan materi pembinaan yaitu buku pedoman Pembangunan ZI 2025 membutuhkan waktu sehingga kegiatan pembinaan Pembangunan ZI 2025 harus menunggu terselesaikannya materi pedoman Pembangunan ZI 2025,0,0.0,-,-,-,0.0,-,-,"1. Bukti dukung sudah relevan, namun apabila ada Laporan Kegiatan Pembinaan Pembangunan ZI 2025, mohon untuk dilampirkan.",0.0
