Kategori,Kegiatan Utama,Indikator Kegiatan Utama,Rencana Aksi,Output Satuan,PIC Pelaksana,Target TW 1,Target TW 2,Target TW 3,Target TW 4,Capaian TW 1,Capaian TW 2,Capaian TW 3,Capaian TW 4,Kendala TW 4,Solusi TW 4,Catatan Evaluator TW4
General,Penguatan Implementasi SPIP,Tingkat Maturitas SPIP,1. Evaluasi berkala atas penerapan kebijakn peraturan dilingkungan BPS ,Dokumen,Biro Perencanaan,0,0,0,1,0,0,0,0,Perubahan tata Kelola di BPS dan perubahan SOTK di BPS belum selesai ditetapkan,Menunggu keputusan dan arahan pimpinan,Rencana aksi Evaluasi berkala atas penerapan kebijakan peraturan dilingkungan BPS belum memenuhi target pada TW IV dikarenakan Proses penyusunan terhadap draft revisi Perka BPS Nomor 26 Tahun 2011 tentang SPIP dan Perban Terkait MR masih menunggu kejelasan arah perubahan tata kelola dan struktur organisasi (SOTK) di BPS yang dapat memengaruhi isi regulasi. Maka perlu dilakukan penyesuaian substansi regulasi secara paralel dengan proses penetapan perubahan tata kelola/SOTK. Dan Segera finalisasi draft setelah ada arahan dan keputusan pimpinan
General,Penguatan Implementasi SPIP,Tingkat Maturitas SPIP,2. Melaksanakan Penilaian Mandiri SPIP BPS,Laporan,Biro Perencanaan,0,0,1,1,0,0,1,1,"Tidak ada, PM SPIP sudah selesai dilaksanakan. Saat ini sedang menunggu penilaian dari BPKP.",Tidak ada keterangan,"Rencana aksi Melaksanakan Penilaian Mandiri SPIP BPS sudah mencapai target yang telah ditetapkan pada TW IV, dibuktikan dengan link bukti dukung yang diberikan"
General,Penguatan Implementasi SPIP,Tingkat Maturitas SPIP,3. Melaksanakan Pembinaan SPIP dan Manajemen Risiko,Laporan,Biro Perencanaan,0,0,0,1,0,0,1,1,"Tidak ada, Pelaksanaan dan penyusunan laporan pembinaan SPIP sudah selesai dilaksanakan",Tidak ada keterangan,Target telah tercapai pada Triwulan III sebagaimana dibuktikan dengan tersusunnya Laporan Pelaksanaan Pembinaan SPIP BPS Tahun 2025.
General,Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,1. Pimpinan menetapkan target success rate pembangunan ZI sebesar minimal 60% pada Perjanjian Kinerja (PK) kepala BPS Provinsi,Dokumen,Inspektorat Wilayah III,1,1,1,1,1,-,-,-,-,-,Target sudah tercapai di triwulan I 2025.
General,Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,2. Pelaksanaan penilaian mandiri LKE ZI tahun 2025 atas seluruh satuan kerja BPS,Dokumen,Inspektorat Wilayah III,1,1,1,1,1,-,,,Tidak ada keterangan,Tidak ada keterangan,Target sudah tercapai di triwulan I 2025.
General,Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,3. Pelaksanaan evaluasi pembangunan ZI tahun 2025,Persen,Inspektorat Wilayah III,0,100,100,100,-,1,,,Tidak ada keterangan,Tidak ada keterangan,Target sudah tercapai di triwulan II 2025.
General,Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,4. Optimalisasi peran Tim TPI dan TPP dalam Penilaian evaluasi pembangunan ZI tahun 2025,Persen,Inspektorat Wilayah III,100,100,100,100,1,-,,,Tidak ada keterangan,Tidak ada keterangan,Target sudah tercapai di triwulan I 2025.
General,Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,5. Tersusunnya Pedoman dan Dashboard evaluasi pembangunan ZI tahun 2025,Persen,Inspektorat Wilayah III,100,100,100,100,1,-,,,Tidak ada keterangan,Tidak ada keterangan,Target sudah tercapai di triwulan I 2025.
General,Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,6. Sharing session satker WBK/WBBM ,Persen,Inspektorat Wilayah III,0,0,100,100,-,-,1,-,-,-,"Pencapaian atas rencana aksi Sharing Session Satker WBK/WBBM telah sesuai dengan target pada Triwulan III Tahun 2025, dan telah dilengkapi dengan bukti dukung yang relevan.
Kegiatan yang dilaksanakan dalam pencapaian output tersebut antara lain adalah dengan melakukan sharing session untuk Persiapan Evaluasi Zona Integritas tahun 2025 (Tahap Verifikasi Lapangan) pada tanggal 14 Agustus 2025 dengan Biro Perencanaan dan calon satker berpredikat WBK yang telah lolos tahap seleksi administrasi, tahap analisis dokumen (LKE), dan tahap wawancara."
General,Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,7. Pelaksanaan pembinaan pembangunan ZI tahun 2025,Persen,Inspektorat Wilayah III,100,100,100,100,1,1,-,-,-,-,1. Pencapaian atas rencana aksi Pelaksanaan pembinaan pembangunan ZI tahun 2025 sesuai dengan target pada Triwulan I tahun 2025. Pencapaian tersebut sudah dilengkapi dengan bukti dukung.
General,Pembangunan Zona Integritas di Satuan Kerja,Tingkat Keberhasilan Pembangunan ZI,8. Penyusunan Buku Pedoman Pembangunan ZI Tahun 2025,Dokumen,Inspektorat Wilayah III,1,1,1,1,1,1,-,-,-,-,1. Pencapaian atas rencana aksi Penyusunan Buku Pedoman Pembangunan ZI Tahun 2025 sesuai dengan target pada Triwulan I tahun 2025. Pencapaian tersebut sudah dilengkapi dengan bukti dukung.
General,Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,1. Reviu dokumen Renstra 2025-2029 oleh Inspektorat,Laporan ,Biro Perencanaan,0,0,0,1,,,0,1,Tidak ada keterangan,Tim Inspektorat telah melakukan reviu Renstra BPS Tahun 2025-2029 melalui Dokumen Nomor: R-3/08100/PW.120/LHR/2025,"Output dari rencana aksi Reviu dokumen Renstra 2025-2029 oleh Inspektorat telah tercapai pada Triwulan IV. Pada Triwulan III telah dilakukan kegiatan antara lain: 
Koordinasi dengan inspektorat untuk melakukan reviu terhadap dokumen renstra akhir (Rankhir) 
Mengundang tim inspektorat ketika melaksanakan BM pembahasan rancangan akhir
Dokumen reviu rancangan akhir spektorat akan selesai pada triwulan IV, perban renstra sudah mengakomodir hasil reviu dari inspektorat.
"
General,Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,2. Revisi dokumen Renstra 2025-2029 sesuai hasil reviu Inspektorat,Laporan ,Biro Perencanaan,0,0,0,1,,,1,1,Hasil penelaahan pertama dinilai tidak valid karena belum mengikuti Peraturan Presiden Nomor 80 Tahun 2025,"Melakukan penelaahan ulang dengan melibatkan Kemenkeu, Bappenas, BPKP, dan KemenpanRb sesuai Peraturan Presiden Nomor 80 Tahun 2025","Rencana aksi Revisi dokumen Renstra 2025-2029 sesuai hasil reviu Inspektorat memiliki target pada TW IV, namun telah dilakukan penalaahan pertama dan dinilai tidak valid dikarenakan belum mengikuti Peraturan Presiden Nomor 80 Tahun 2025."
General,Pelaksanaan SAKIP Terintegrasi,Nilai SAKIP,"3. Melakukan pemutakhiran CSF sesuai dengan pemetaan potensi, permasalahan, peluang dan tantangan BPS 2025-2029",Dokumen,Biro Perencanaan,0,0,0,1,,,1,1,Keterbatasan pemahaman anggota tim dalam penyusunan CSF.,Mencari literatur terkait penyusunan CSF yang sesuai ,"Rencana aksi Melakukan pemutakhiran CSF sesuai dengan pemetaan potensi, permasalahan, peluang dan tantangan BPS 2025-2029 memiliki target pada TW IV, namun target telah tercapai dengan dibuktikannya dengan adanya dokumen CSF."
