indikator_utama,rencana_aksi_desc,pic_pelaksana
Pengentasan Kemiskinan,"Mendokumentasikan produk hukum yang dihasilkan dalam kegiatan tata kelola DTSEN yang dilakukan bersama dengan Biro Humas dan Hukum, khususnya terkait dengan aliran keluar masuk data dari dan ke BPS",
Pengentasan Kemiskinan,Diseminasi data kemiskinan pada website BPS sesuai jadwal rilis yang ditetapkan,
Pengentasan Kemiskinan,Identifikasi kebutuhan,
Pengentasan Kemiskinan,Perancangan dan implementasi aplikasi pengolahan data,
Pengentasan Kemiskinan,Penyusunan dashboard,
Pengentasan Kemiskinan,Monitoring kegiatan,
Pengentasan Kemiskinan,"- Identifikasi ketersediaan data Statistik Kependudukan dan Ketenagakerjaan untuk pemadanan data DTSEN
 - Pelaksanaan pemadanan data",
Pengentasan Kemiskinan,Pelaksanaan pengumpulan data susenas September 2024,
Pengentasan Kemiskinan,Pelaksanaan pengumpulan data susenas Maret 2025,
Pengentasan Kemiskinan,"Pelaksanaan ujicoba kuesioner Susenas September 2025 dalam rangka integrasi 3 modul (MSBP, MKP, dan Hansos)",
Pengentasan Kemiskinan,Penyusunan Pedoman Integrasi DTSEN,
Pengentasan Kemiskinan,Penyusunan laporan pemutakhiran DTSEN dari data Statistik Ketahanan Sosial,
Pengentasan Kemiskinan,Penyusunan Publikasi Penghitungan dan Analisis Kemiskinan Makro di Indonesia Tahun 2025,
Pengentasan Kemiskinan,Penyusunan Publikasi Data dan Informasi Kemiskinan Kabupaten/Kota Tahun 2025,
Pengentasan Kemiskinan,Penyusunan Berita Resmi Statistik (BRS) Profil Kemiskinan di Indonesia September 2024 dan Maret 2025,
Pengentasan Kemiskinan,Penghitungan Indikator Persentase Penduduk Miskin Ekstrem,
Pengentasan Kemiskinan,"Identifikasi ketersediaan data Statistik Peternakan, Perikanan, dan Kehutanan untuk pemadanan data DTSEN",
Pengentasan Kemiskinan,"Identifikasi ketersediaan data Statistik Tanaman Pangan, Hortikultura, dan Perkebunan untuk pemadanan data DTSEN",
Pengentasan Kemiskinan,Penyusunan publikasi Pendapatan Nasional Indonesia tahun 2020-2024,
Pengentasan Kemiskinan,Penyusunan Neraca Institusi Terintegrasi sebagai indikator ketahanan finansial rumah tangga.,
