kegiatan utama,indikator kegiatan utama,Rencana Aksi,output(Satuan),pic_pelaksana,target tw 1,target tw 2,target tw 3,target tw 4,capaian output tw 1,capaian output tw 2,capaian output tw 3,capaian output tw 4,status tw 1,status tw 2,status tw 3,status tw 4,Persentase Pencapaian Target
Pengentasan Kemiskinan,Persentase produk hukum terkait aliran DTSEN dari dan ke BPS yang terdokumentasi di Direktorat Diseminasi Statistik dan Biro Humas dan Hukum,"Mendokumentasikan produk hukum yang dihasilkan dalam kegiatan tata kelola DTSEN yang dilakukan bersama dengan Biro Humas dan Hukum, khususnya terkait dengan aliran keluar masuk data dari dan ke BPS",Laporan,"Deputi Bidang MIS
",0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,100%
Pengentasan Kemiskinan,Persentase tersedianya data dan indikator statistik dalam rangka pengentasan kemiskinan dan penghapusan kemiskinan ekstrem,Diseminasi data kemiskinan pada website BPS sesuai jadwal rilis yang ditetapkan,persen,Deputi Bidang MIS,0,0.5,0.5,1,0.5,0.5,1,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,100%
Pengentasan Kemiskinan,Jumlah survei terkait pengentasan kemiskinan yang pengolahan datanya difasilitasi dengan aplikasi berbasis desktop (client-server),Identifikasi kebutuhan,Laporan,Deputi Bidang MIS,0,0,0,1,1,0,1,0,Target Tercapai,Tidak Ada Target,Target Tercapai,Tidak Tercapai,75%
Pengentasan Kemiskinan,Jumlah survei terkait pengentasan kemiskinan yang pengolahan datanya difasilitasi dengan aplikasi berbasis desktop (client-server),Perancangan dan implementasi aplikasi pengolahan data,Laporan,Deputi Bidang MIS,1,0,1,0,1,0,1,0,Target Tercapai,Tidak Ada Target,Target Tercapai,Tidak Ada Target,100%
Pengentasan Kemiskinan,Jumlah survei terkait pengentasan kemiskinan yang pengolahan datanya difasilitasi dengan aplikasi berbasis desktop (client-server),Penyusunan dashboard,Laporan,Deputi Bidang MIS,1,0,1,0,1,0,1,0,Target Tercapai,Tidak Ada Target,Target Tercapai,Tidak Ada Target,100%
Pengentasan Kemiskinan,Jumlah survei terkait pengentasan kemiskinan yang pengolahan datanya difasilitasi dengan aplikasi berbasis desktop (client-server),Monitoring kegiatan,Laporan,Deputi Bidang MIS,1,0,1,0,1,0,1,0,Target Tercapai,Tidak Ada Target,Target Tercapai,Tidak Ada Target,100%
Pengentasan Kemiskinan,Jumlah paket data Statistik Kependudukan dan Ketenagakerjaan untuk pemadanan data DTSEN,"Identifikasi ketersediaan data Statistik Kependudukan dan Ketenagakerjaan untuk pemadanan data DTSEN
 - Pelaksanaan pemadanan data",Dokumen gambaran hasil pemadanan,Deputi Bidang Statistik Sosial,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,100%
Pengentasan Kemiskinan,Persentase terlaksananya survei sosial ekonomi dan nasional September 2024 dan Maret 2025 ,Pelaksanaan pengumpulan data susenas September 2024,persen,Deputi Bidang Statistik Sosial,0,1,1,1,0,1,0,0,Tidak Ada Target,Target Tercapai,Tidak Tercapai,Tidak Tercapai,50%
Pengentasan Kemiskinan,Persentase terlaksananya survei sosial ekonomi dan nasional September 2024 dan Maret 2025 ,Pelaksanaan pengumpulan data susenas Maret 2025,persen,Deputi Bidang Statistik Sosial,0,0,0,1,0,0,0.75,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,100%
Pengentasan Kemiskinan,Persentase terlaksananya ujicoba kuesioner Susenas September 2025 integrasi 3 modul,"Pelaksanaan ujicoba kuesioner Susenas September 2025 dalam rangka integrasi 3 modul (MSBP, MKP, dan Hansos)",Kuesioner,Deputi Bidang Statistik Sosial,0,0,1,1,0,1,0,0,Tidak Ada Target,Target Tercapai,Tidak Tercapai,Tidak Tercapai,50%
Pengentasan Kemiskinan,Jumlah Pedoman terkait DTSEN,Penyusunan Pedoman Integrasi DTSEN,Dokumen,Deputi Bidang Statistik Sosial,0,0,0,1,0.25,0.5,0.75,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,100%
Pengentasan Kemiskinan,Persentase laporan pemutakhiran DTSEN yang berasal dari Statistik Ketahanan Sosial (data Kemensos),Penyusunan laporan pemutakhiran DTSEN dari data Statistik Ketahanan Sosial,Laporan,Deputi Bidang Statistik Sosial,0,0,0,1,0.25,0.5,0.75,1,Target Tercapai,Target Tercapai,Target Tercapai,Target Tercapai,100%
Pengentasan Kemiskinan,Persentase tersedianya data dan indikator statistik dalam rangka pengentasan kemiskinan dan penghapusan kemiskinan ekstrem,Penyusunan Publikasi Penghitungan dan Analisis Kemiskinan Makro di Indonesia Tahun 2025,Dokumen,Deputi Bidang Statistik Sosial,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,100%
Pengentasan Kemiskinan,Persentase tersedianya data dan indikator statistik dalam rangka pengentasan kemiskinan dan penghapusan kemiskinan ekstrem,Penyusunan Publikasi Data dan Informasi Kemiskinan Kabupaten/Kota Tahun 2025,Dokumen,Deputi Bidang Statistik Sosial,0,0,0,1,0,0,0,1,Tidak Ada Target,Tidak Ada Target,Tidak Ada Target,Target Tercapai,100%
Pengentasan Kemiskinan,Persentase tersedianya data dan indikator statistik dalam rangka pengentasan kemiskinan dan penghapusan kemiskinan ekstrem,Penyusunan Berita Resmi Statistik (BRS) Profil Kemiskinan di Indonesia September 2024 dan Maret 2025,Dokumen,Deputi Bidang Statistik Sosial,1,1,2,2,0.5,0.75,1,0,Tidak Tercapai,Tidak Tercapai,Tidak Tercapai,Tidak Tercapai,0%
Pengentasan Kemiskinan,Persentase tersedianya data dan indikator statistik dalam rangka pengentasan kemiskinan dan penghapusan kemiskinan ekstrem,Penghitungan Indikator Persentase Penduduk Miskin Ekstrem,Dokumen,Deputi Bidang Statistik Sosial,0,0,1,1,0,0,0,0,Tidak Ada Target,Tidak Ada Target,Tidak Tercapai,Tidak Tercapai,50%
Pengentasan Kemiskinan,"Jumlah paket data Statistik Peternakan, Perikanan, dan Kehutanan untuk pemadanan data DTSEN","Identifikasi ketersediaan data Statistik Peternakan, Perikanan, dan Kehutanan untuk pemadanan data DTSEN",Laporan,Deputi Bidang Statistik Produksi,0,0,1,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,100%
Pengentasan Kemiskinan,"Jumlah paket data Statistik Tanaman Pangan, Hortikultura, dan Perkebunan untuk pemadanan data DTSEN","Identifikasi ketersediaan data Statistik Tanaman Pangan, Hortikultura, dan Perkebunan untuk pemadanan data DTSEN",Laporan,Deputi Bidang Statistik Produksi,0,0,1,1,0,0,1,1,Tidak Ada Target,Tidak Ada Target,Target Tercapai,Target Tercapai,100%
